Cell Line,TF,DeepBind,DanQ,DeepD2V,DeepSEA,CBR-KAN
Gm12878,Batf,0.6275095612628957,0.6478037270358161,0.6988535492914475,0.7405976398640994,0.7989682422240174
Gm12878,Bcl11a,0.5268199080323084,0.5307041246800663,0.0,0.5852210130444794,0.6737293933994452
Gm12878,Bcl3,0.5490276207786159,0.6120490227611074,0.6966178087596238,0.6024976696268979,0.7233212516886813
Gm12878,Bclaf,0.4739510294953483,0.5837627517432432,0.5704327781611691,0.5910510831802461,0.6419064903257204
Gm12878,Ebf,0.6059571716933033,0.5947977968226847,0.6573634571423145,0.6339754398401926,0.6989824443144252
Gm12878,Egr1,0.7380998712667242,0.8028691985192817,0.8219983832464497,0.7913981094652086,0.837895272997266
Gm12878,Elf1,0.6468771664002096,0.6166388123351713,0.7059158043308492,0.6810689427730909,0.7192286482256949
Gm12878,Ets1,0.6516749615426828,0.7107247191597141,0.7756695783235545,0.7441996701158953,0.7748879262331493
Gm12878,Irf4,0.4347000607570841,0.5382421182742441,0.5899079170152706,0.568433290955439,0.6589573714788718
Gm12878,Mef2a,0.3451807029342787,0.6167440686845849,0.6840855856296075,0.6551162766311703,0.7169487354021193
Gm12878,Nrsf,0.6329948615772678,0.6710017630364654,0.7795325974748154,0.7814169961007377,0.8024274148440671
Gm12878,Pax5c20,0.5474155518307905,0.5864261096466039,0.6080366473144149,0.603566931248985,0.6535651380691648
Gm12878,Pax5n19,0.513245580617731,0.6051190956281917,0.6319291054805983,0.6281489177603257,0.6944096745610365
Gm12878,Pbx3,0.6253424305684543,0.6472130104234687,0.6788257125604648,0.7190166624579094,0.7595944117789412
Gm12878,Pou2f2,0.5338969855939767,0.573383536783112,0.5749506946441976,0.6059098898554455,0.681030520130258
Gm12878,Pu1,0.8139531090173252,0.8557564204750806,0.8707118734046022,0.8695553261830468,0.8991979056928165
Gm12878,Rad21,0.7555553218787272,0.8355085009262452,0.8876216825667316,0.9019043691940036,0.9126149393083944
Gm12878,Sp1,0.4710458630403217,0.5418956300931737,0.5460569624187445,0.5621019850957267,0.6453316385359181
Gm12878,Srf,0.5517049390806796,0.6141334634375617,0.7344658892835397,0.7144849678361639,0.7304625035287502
Gm12878,Taf1,0.6910482231493953,0.6996509895821189,0.7026914610820032,0.6940241400975237,0.7136184404547095
Gm12878,Tcf12,0.6461969112275333,0.6564508657437707,0.6901055910862076,0.6848123867510957,0.7523669979959814
Gm12878,Usf1,0.7406554435809904,0.784911606861422,0.7952944285335507,0.7905829760407455,0.7992761237815066
Gm12878,Yy1,0.5926109674906836,0.5861086243773673,0.6746854972725304,0.6636958158028174,0.7190638818693728
H1hesc,Gabp,0.6242650691521521,0.6328255180453298,0.735156905386118,0.6806218788370576,0.7559571667599131
H1hesc,Nrsf,0.6437143361446399,0.7229965356056284,0.8284849074752899,0.8176249402056753,0.8418182001899487
H1hesc,Rad21,0.8009713937855066,0.7905525522679525,0.8640249580429318,0.8751060902996531,0.8704462077023521
H1hesc,Sin3,0.6589193975315288,0.7099544065199842,0.7407796456436564,0.7286025161876668,0.7252065436128553
H1hesc,Sp1,0.6037093360971972,0.6286170507228959,0.678155431137577,0.6411875910055175,0.7255289035703528
H1hesc,Srf,0.7244988677583616,0.6339324656267099,0.7723549186671574,0.8260662000512179,0.8558623777156251
H1hesc,Taf1,0.7192500527881955,0.7249740704613062,0.7319183530932024,0.7011226527558547,0.7355467381670067
H1hesc,Tcf12,0.3854090336162908,0.5878449113801493,0.6775264549045553,0.6051070871680455,0.6930515135403362
H1hesc,Usf1,0.8384554645105836,0.8495194143510424,0.8800831691406313,0.8785289091908075,0.8819960169363038
H1hesc,Yy1,0.6602970916088773,0.6351066798481814,0.7557629662907578,0.7373193572310858,0.7784936860252036
K562,Atf3,0.6968889537258313,0.7177512649907404,0.7549304106420646,0.7617606006141778,0.782069280972722
K562,E2f6,0.7599804602802308,0.770295279472794,0.8016268170693153,0.7830766558372372,0.8076206895786434
K562,Egr1,0.8071045200964684,0.8251178373878311,0.8090179438738485,0.8304519109384252,0.8362423808823862
K562,Elf1,0.7414778188835388,0.7542922632254674,0.7594897710788748,0.7439778552918771,0.7598164793605483
K562,Ets1,0.6675842797632002,0.702286175972067,0.6866612173047408,0.71095427664102,0.7300112012959953
K562,Fosl1,0.8056813855604903,0.8270092098945871,0.8395674776030353,0.8259415403611454,0.8450063358953182
K562,Gabp,0.7030536464548974,0.6824593426920539,0.7629616048493227,0.7421870817666381,0.7986511271652798
K562,Gata2,0.5507369407279886,0.5470794357587624,0.6037495206305468,0.6320859344890013,0.6735100879130411
K562,Hey1,0.5972969622785215,0.6232519315114277,0.6050053570844146,0.5981992610876787,0.6023363668721806
K562,Max,0.7055548982842096,0.7347381296714265,0.7455800492792737,0.7380979496505456,0.7662501788051906
K562,Nrsf,0.5800440798968941,0.6774752566041805,0.7088178377517028,0.693303863882668,0.741603627510331
K562,Pu1,0.8654132674984154,0.8798612870674211,0.8805728356361278,0.8910852811649247,0.9057681871083612
K562,Rad21,0.816173905158274,0.8251440228656268,0.8871198470882944,0.9081385347733232,0.9035157165281508
K562,Srf,0.5472379036666136,0.6444435495006064,0.6913221469954672,0.7208140893546394,0.7256940651888366
K562,Taf1,0.7012783966158043,0.7252566704404826,0.7447910394823952,0.7283524153504078,0.7042475046461213
K562,Usf1,0.7641954406819635,0.7754663691184479,0.8205321303693315,0.8173949435249842,0.8233410734711081
K562,Yy1,0.6568221056487411,0.6632603999729251,0.6526250182209005,0.7020874800779898,0.7311836990842786
